Date,Year,MonthNumber,MonthName
2009-01-01,2009,1,January
2009-01-02,2009,1,January
2009-01-03,2009,1,January
2009-01-06,2009,1,January
2009-01-11,2009,1,January
2009-01-19,2009,1,January
2009-02-01,2009,2,February
2009-02-02,2009,2,February
2009-02-03,2009,2,February
2009-02-06,2009,2,February
2009-02-11,2009,2,February
2009-02-19,2009,2,February
2009-03-04,2009,3,March
2009-03-05,2009,3,March
2009-03-06,2009,3,March
2009-03-09,2009,3,March
2009-03-14,2009,3,March
2009-03-22,2009,3,March
2009-04-04,2009,4,April
2009-04-05,2009,4,April
2009-04-06,2009,4,April
2009-04-09,2009,4,April
2009-04-14,2009,4,April
2009-04-22,2009,4,April
2009-05-05,2009,5,May
2009-05-06,2009,5,May
2009-05-07,2009,5,May
2009-05-10,2009,5,May
2009-05-15,2009,5,May
2009-05-23,2009,5,May
2009-06-05,2009,6,June
2009-06-06,2009,6,June
2009-06-07,2009,6,June
2009-06-10,2009,6,June
2009-06-15,2009,6,June
2009-06-23,2009,6,June
2009-07-06,2009,7,July
2009-07-07,2009,7,July
2009-07-08,2009,7,July
2009-07-11,2009,7,July
2009-07-16,2009,7,July
2009-07-24,2009,7,July
2009-08-06,2009,8,August
2009-08-07,2009,8,August
2009-08-08,2009,8,August
2009-08-11,2009,8,August
2009-08-16,2009,8,August
2009-08-24,2009,8,August
2009-09-06,2009,9,September
2009-09-07,2009,9,September
2009-09-08,2009,9,September
2009-09-11,2009,9,September
2009-09-16,2009,9,September
2009-09-24,2009,9,September
2009-10-07,2009,10,October
2009-10-08,2009,10,October
2009-10-09,2009,10,October
2009-10-12,2009,10,October
2009-10-17,2009,10,October
2009-10-25,2009,10,October
2009-11-07,2009,11,November
2009-11-08,2009,11,November
2009-11-09,2009,11,November
2009-11-12,2009,11,November
2009-11-17,2009,11,November
2009-11-25,2009,11,November
2009-12-08,2009,12,December
2009-12-09,2009,12,December
2009-12-10,2009,12,December
2009-12-13,2009,12,December
2009-12-18,2009,12,December
2009-12-26,2009,12,December
2010-01-08,2010,1,January
2010-01-09,2010,1,January
2010-01-10,2010,1,January
2010-01-13,2010,1,January
2010-01-18,2010,1,January
2010-01-26,2010,1,January
2010-02-08,2010,2,February
2010-02-09,2010,2,February
2010-02-10,2010,2,February
2010-02-13,2010,2,February
2010-02-18,2010,2,February
2010-02-26,2010,2,February
2010-03-11,2010,3,March
2010-03-12,2010,3,March
2010-03-13,2010,3,March
2010-03-16,2010,3,March
2010-03-21,2010,3,March
